Id,Designator,Quantity,Designation,Package,Supplier and ref
1,RV1,1,20k,ACP14-L,
2,"RV5,RV2,RV3,RV4,RV6,RV7,RV8,RV9",8,100k,ACP14-L,
3,"U6,U3,U5",3,NSL-32,DIP-4_W7.62mm_LongPads,
4,"C1,C2,C3,C6",4,1u,C_Radial_D5_L11_P2,
5,"C4,C9,C10,C11,C12",5,100n,C_Disc_D3_P2.5,
6,C5,1,220n,C_Disc_D3_P2.5,
7,"C7,C8",2,10n,C_Disc_D6_P5,
8,"D1,D2",2,1N4148,Diode_DO-35_SOD27_Horizontal_RM10,
9,"GS1,GS2,GS3",3,GS2,GS2,
10,P2,1,CONN_02X06,Pin_Header_Straight_2x06,
11,P5,1,CONN_01X02,Pin_Header_Straight_1x02,
12,"U1,U2",2,LM2902N,DIP-14_W7.62mm_LongPads,
13,U4,1,XR2206,DIP-16_W7.62mm_LongPads,
14,"R1,R2,R3,R9,R11,R13,R17,R22,R23",9,10k,Resistor_Horizontal_RM10mm,
15,R4,1,8k,Resistor_Horizontal_RM10mm,
16,"R5,R18,R19",3,2k,Resistor_Horizontal_RM10mm,
17,R6,1,22k,Resistor_Horizontal_RM10mm,
18,"R7,R15,R16",3,250,Resistor_Horizontal_RM10mm,
19,R8,1,533,Resistor_Horizontal_RM10mm,
20,"R10,R12",2,4.9k,Resistor_Horizontal_RM10mm,
21,R14,1,200,Resistor_Horizontal_RM10mm,
22,"R20,R26",2,1k,Resistor_Horizontal_RM10mm,
23,"R21,R25",2,20k,Resistor_Horizontal_RM10mm,
24,"P1,P3",2,CONN_02X03,Pin_Header_Straight_2x03,
25,P4,1,CONN_01X04,Pin_Header_Straight_1x04,
26,R24,1,60k,Resistor_Horizontal_RM10mm,
27,D3,1,Led_Small,LED-5MM,
28,"SW1,SW2",2,SPST,Pin_Header_Straight_1x02,
